央视频道,#genre#
CCTV-1综合,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226721/index.m3u8
CCTV-2财经,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226711/index.m3u8
CCTV-3综艺,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227038/index.m3u8
CCTV-4中文国际,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226692/index.m3u8
CCTV-5体育,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227041/index.m3u8
CCTV-5+体育赛事,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226745/index.m3u8
CCTV-6电影,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227099/index.m3u8
CCTV-7国防军事,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226175/index.m3u8
CCTV-8电视剧,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227102/index.m3u8
CCTV-9纪录,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226734/index.m3u8
CCTV-10科教,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226184/index.m3u8
CCTV-11戏曲,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226193/index.m3u8
CCTV-12社会与法,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226736/index.m3u8
CCTV-13新闻,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226191/index.m3u8
CCTV-14少儿,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226720/index.m3u8
CCTV-15音乐,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226180/index.m3u8
CCTV-16奥林匹克,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227071/index.m3u8
CCTV-17农村农业,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226841/index.m3u8
辽宁本地,#genre#
沈阳新闻综合,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226895/index.m3u8
辽宁卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226049/index.m3u8
辽宁都市,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226760/index.m3u8
辽宁影视剧,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226738/index.m3u8
辽宁青少,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226763/index.m3u8
辽宁生活,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226761/index.m3u8
辽宁公共,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226766/index.m3u8
辽宁北方,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226755/index.m3u8
辽宁体育,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226764/index.m3u8
辽宁经济,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226735/index.m3u8
地方卫视,#genre#
北京卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226724/index.m3u8
东方卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226697/index.m3u8
广东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226743/index.m3u8
深圳卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221225982/index.m3u8
天津卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226048/index.m3u8
重庆卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226737/index.m3u8
吉林卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227163/index.m3u8
黑龙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221225980/index.m3u8
湖南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226669/index.m3u8
浙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226795/index.m3u8
江苏卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226902/index.m3u8
安徽卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226746/index.m3u8
山东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226739/index.m3u8
东南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226046/index.m3u8
湖北卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226705/index.m3u8
四川卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221226728/index.m3u8
